"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_471",5.10017612498491,1.62927507344475,471
"TT_472",4.17198993441124,1.42839312448251,472
"TT_473",4.43744576031079,1.49007893169828,473
"TT_474",3.71316417899534,1.31188439156059,474
"TT_475",3.82657800609375,1.34197093281564,475
"TT_476",2.52005631317609,0.924281247772102,476
"TT_477",3.2830139681705,1.18876189320748,477
"TT_478",3.05333152024707,1.11623329621221,478
"TT_479",1.90877540671099,0.646461888116204,479
"TT_480",1.94238338233658,0.663915766624342,480
"TT_481",3.01996519707053,1.10524530717154,481
"TT_482",3.19427158343472,1.16135907543124,482
"TT_483",2.67498390640798,0.98394336403379,483
"TT_484",2.42496119170609,0.885815520841222,484
"TT_485",2.17381355270813,0.776483022697453,485
"TT_486",2.53827884416372,0.931486230933984,486
"TT_487",2.31852668790923,0.84093193563464,487
"TT_488",2.52032166122133,0.92438653671941,488
"TT_489",2.4909755715543,0.912674429549621,489
"TT_490",2.27596319952402,0.822403347207189,490
"TT_491",2.25481217119864,0.813066675116797,491
"TT_492",2.46939387906294,0.903972727434148,492
"TT_493",2.48058059564497,0.908492643924317,493
"TT_494",2.87846391352184,1.05725678849855,494
"TT_495",1.9928771488991,0.689579398035774,495
"TT_496",1.73450728033444,0.550723384786653,496
"TT_497",2.05223180597004,0.718927886800699,497
"TT_498",1.90538698254621,0.644685128392641,498
"TT_499",1.76174869138138,0.566306890429986,499
"TT_500",4.11145307601848,1.41377651250183,500
"TT_501",1.96391399140407,0.674939416409231,501
"TT_502",2.62021680565981,0.963257064601227,502
"TT_503",1.61007791343138,0.476282571261089,503
"TT_504",1.3830897627724,0.324319954967168,504
"TT_505",6.33779670121257,1.84653118458081,505
"TT_506",2.15424484903585,0.767440244064138,506
"TT_507",2.16440558949732,0.772145769252761,507
"TT_508",2.53286668632619,0.929351738890783,508
"TT_509",1.85380077060914,0.617238002151138,509
"TT_510",1.60205883835551,0.471289576033822,510
"TT_511",1.60262193619047,0.471640998144402,511
"TT_512",1.33044598447629,0.28551421269814,512
